ax,ay,az,gx,gy,gz
-0.36153549,9.835680962,-0.701522529,-0.014668707,-0.014034629,0.010823311
-0.277735889,9.838075638,-0.723070979,-0.02077736,-0.019532416,0.016321098
-0.165204957,9.847652435,-0.735042393,-0.016501302,-0.020143282,0.015099367
-0.081405342,9.845257759,-0.708705366,-0.02077736,-0.014645495,0.014488501
0.043096945,9.809344292,-0.653637052,-0.017723033,-0.009147707,0.013266771
0.009577099,9.799766541,-0.694339693,-0.01161438,-0.00487165,0.008990715
-0.055068322,9.780612946,-0.74222517,-0.002451402,0.000626137,0.003492928
-0.129290834,9.787795067,-0.766167939,-0.003673133,0.007345655,0.005325523
-0.189147711,9.775823593,-0.76377368,0.001824654,0.007345655,0.011434175
-0.210696191,9.763853073,-0.775745034,0.005489846,0.004902193,0.016931962
-0.268158793,9.73751545,-0.780533612,0.01526369,0.001237002,0.018764559
-0.287312985,9.747093201,-0.780533612,0.014652824,0.003680463,0.022429751
-0.227456108,9.747093201,-0.792504966,0.016485421,0.006123924,0.019375423
-0.086193889,9.775823593,-0.876304567,0.010376768,0.01039998,0.011434175
-0.038308397,9.828497887,-0.859544635,-0.003062268,0.00917825,0.005936388
-0.028731298,9.823709488,-0.727859557,-0.017723033,0.012843442,0.010212446
-0.026337024,9.84046936,-0.59378016,-0.036659855,0.016508633,0.006547254
-0.107742369,9.873989105,-0.493220598,-0.04399024,0.018952096,0.011434175
-0.292101532,9.919480324,-0.378295422,-0.035438124,0.015897768,0.016321098
-0.294495791,9.893143654,-0.454912216,-0.015890438,0.012843442,0.02120802
-0.263370216,9.871595383,-0.533923268,-0.008560055,0.011010846,0.01998629
-0.244216025,9.809344292,-0.5506832,-0.014057842,0.008567384,0.010212446
-0.208301902,9.739910126,-0.588991582,-0.034827258,0.017119499,0.007158119
-0.10055954,9.778218269,-0.744619489,-0.048877157,0.018952096,0.005936388
-0.045491222,9.775823593,-0.816447735,-0.046433702,0.011621712,0.001660332
-0.062251143,9.732727051,-0.866727471,-0.037270721,0.009789116,-0.000783129
-0.045491222,9.689630508,-0.924190104,-0.026275147,0.001847867,-0.000783129
-0.067039698,9.694418907,-0.950527072,-0.018944763,0.002458733,0.007768984
-0.124502286,9.682447433,-0.928978622,-0.017723033,0.006123924,0.012045041
-0.20111908,9.668081284,-0.940949976,-0.017112168,0.004902193,0.00837985
-0.241821751,9.699207306,-0.91221869,-0.018944763,0.004291329,0.005936388
-0.237033203,9.751881599,-0.878698826,-0.023220822,0.006123924,0.003492928
-0.232244656,9.785401344,-0.830813348,-0.036659855,0.002458733,0.002271197
